Accesibilidad Sin Exclusión (PASE),3-110-420985,"Escazú, Desamparados, Goicoechea, Santa Ana, Curridabat, Pérez Zeledón, Alajuela, Grecia, Palmares, Cartago, Paraíso, La Unión, Jiménez, Heredia, Liberia, Puntarenas, Esparza, Quepos, Pococí, Siquirres, Matina (21/81)"
Acción Ciudadana (PAC),3-110-301964 ,"San José, Escazú, Puriscal, Tarrazú, Aserrí, Mora, Goicoechea, Santa Ana, Alajuelita, Vásquez de Coronado, Acosta, Moravia, Dota, Curridabat, Pérez Zeledón, León Cortés Castro, Alajuela, San Ramón, Grecia, San Mateo, Atenas, Naranjo, Palmares, Poás, Orotina, San Carlos, Valverde Vega, Upala, Los Chiles, Cartago, Paraíso, La Unión, Jiménez, Turrialba, Alvarado, Oreamuno, El Guarco, Heredia, Barva, Santo Domingo, Santa Bárbara, San Rafael, San Isidro, Flores, San Pablo, Sarapiquí, Liberia, Nicoya, Santa Cruz, Bagaces, Carrillo, Cañas, Abangares, Tilarán, Nandayure, La Cruz, Hojancha, Puntarenas, Esparza, Buenos Aires, Montes de Oro, Osa, Quepos, Golfito, Coto Brus, Parrita, Corredores, Garabito, Pococí, Siquirres, Talamanca, Matina, Guácimo, Limon, Desamparados  (74/81)"
Frente Amplio (FA),3-110-410964,"San José, Escazú, Desamparados, Puriscal, Tarrazú, Aserrí, Mora, Goicoechea, Alajuelita, Vásquez de Coronado, Moravia, Dota, Curridabat, Pérez Zeledón, Alajuela, San Ramón, Grecia, San Mateo, Atenas, Naranjo, Palmares, Poás, San Carlos, Upala, Los Chiles, Cartago, Paraíso, La Unión, Jiménez, Turrialba, Oreamuno, El Guarco, Heredia, Barva, Santa Bárbara, San Rafael, San Isidro, Flores, San Pablo, Sarapiquí, Liberia, Nicoya, Santa Cruz, Cañas, Abangares, Nandayure, Puntarenas, Esparza, Buenos Aires, Montes de Oro, Osa, Golfito, Corredores, Limón, Pococí, Siquirres, Talamanca, Matina, Guácimo (59/81)"
Integración Nacional (PIN),3-110-212993,"San José, Tibás, Naranjo, Santa Cruz, Abangares, Puntarenas, Osa, Quepos (8/81)"
Liberación Nacional (PLN),3-110-051854,"San José, Escazú, Desamparados, Puriscal, Tarrazú, Aserrí, Mora, Goicoechea, Santa Ana, Alajuelita, Vásquez de Coronado, Acosta, Tibás, Moravia, Montes de Oca, Turrubares, Dota, Curridabat, Pérez Zeledón, León Cortés Castro, Alajuela, San Ramón, Grecia, San Mateo, Atenas, Naranjo, Palmares, Poás, Orotina, San Carlos, Zarcero, Valverde Vega, Upala, Los Chiles, Guatuso, Cartago, Paraíso, La Unión, Jiménez, Turrialba, Alvarado, Oreamuno, El Guarco, Heredia, Barva, Santo Domingo, Santa Bárbara, San Rafael, San Isidro, Belén, Flores, San Pablo, Sarapiquí, Liberia, Nicoya, Santa Cruz, Bagaces, Carrillo, Cañas, Abangares, Tilarán, Nandayure, La Cruz, Hojancha, Puntarenas, Esparza, Buenos Aires, Montes de Oro, Osa, Quepos, Golfito, Coto Brus, Parrita, Corredores, Garabito, Limón, Pococí, Siquirres, Talamanca, Matina, Guácimo (81/81)"
Movimiento Libertario (ML),3-110-200226,"San José, Escazú, Desamparados, Puriscal, Tarrazú, Aserrí, Mora, Goicoechea, Santa Ana, Alajuelita, Vásquez de Coronado, Tibás, Moravia, Montes de Oca, Turrubares, Dota, Curridabat, Pérez Zeledón, León Cortés Castro, Alajuela, San Ramón, Grecia, San Mateo, Atenas, Naranjo, Palmares, Zarcero, Upala, Los Chiles, Guatuso, Cartago, Paraíso, La Unión, Oreamuno, El Guarco, Heredia, Barva, Santo Domingo, Santa Bárbara, San Rafael, San Isidro, Belén, San Pablo, Sarapiquí, Liberia, Santa Cruz, Bagaces, Carrillo, Abangares, Tilarán, Puntarenas, Esparza, Buenos Aires, Montes de Oro, Osa, Quepos, Golfito, Coto Brus, Parrita, Corredores, Garabito, Limón, Pococí, Siquirres, Talamanca, Matina, Guácimo, Alvarado (67/81)"
Nueva Generación (PNG),3-110-671418 ,"San José, Desamparados, Puriscal, Aserrí, Mora, Goicoechea, Santa Ana, Alajuelita, Tibás, Moravia, Montes de Oca, Turrubares, Dota, Curridabat, Pérez Zeledón, Alajuela, San Ramón, Palmares, Poás, Orotina, San Carlos, Valverde Vega, Guatuso, Cartago, Paraíso, La Unión, Turrialba, Alvarado, Heredia, Santo Domingo, Santa Bárbara, San Isidro, San Pablo, Sarapiquí, Liberia, Nicoya, Santa Cruz, Bagaces, Tilarán, Nandayure, Puntarenas, Buenos Aires, Quepos, Pococí, Siquirres (45/81)"
Partido de los Trabajadores (PT), 3-110-071063,"San José, Curridabat, Alajuela, Naranjo, Los Chiles, Puntarenas, Limón, Pococí (8/81)"
Renovación Costarricense (PRC), 3-110-190890,"Escazú, Desamparados, Santa Ana, Alajuelita, Tibás, Moravia, Curridabat, Alajuela, San Ramón, Grecia, Naranjo, Palmares, Poás, Orotina, San Carlos, Los Chiles, Paraíso, Heredia, Barva, Liberia,  Sarapiquí, Osa, Quepos, Golfito, Parrita, Corredores, Garabito, Limon, Pococí, Siquirres, Talamanca, Matina, Guácimo (33/81) "
Republicano Social Cristiano (PRSC),,"San José, Escazú, Desamparados, Tarrazú, Goicoechea, Santa Ana, Alajuelita, Vásquez de Coronado, Tibás, Turrubares, Curridabat, Pérez Zeledón, Alajuela, San Ramón, Grecia, San Mateo, Atenas, Naranjo, Palmares, Poás, Orotina, San Carlos, Zarcero, Upala, Los Chiles, Guatuso, Cartago, Paraíso,  La Unión, Turrialba, Alvarado, Oreamuno, El Guarco, Heredia, Barva, Santo Domingo, Santa Bárbara, San Rafael, San Isidro, Belén, Flores, San Pablo, Sarapiquí, Liberia, Nicoya, Santa Cruz, Bagaces, Carrillo, Abangares, Tilarán, Nandayure, Hojancha, Puntarenas, Esparza, Buenos Aires, Quepos, Coto Brus, Parrita, Corredores, Garabito, Limon, Pococí, Siquirres, Talamanca, Matina, Guácimo (66/81)"
Restauración Nacional (PREN),3-110-419368 ,"Desamparados, Goicoechea, Moravia, Montes de Oca, Curridabat, Pérez Zeledón, Alajuela, San Ramón, Poás, Orotina, Cartago, Alvarado, Heredia, Barva, Flores, San Pablo, Sarapiquí, Golfito (18/81)"
Unidad Social Cristiana (PUSC), 3-110-098296,"San José, Escazú, Desamparados, Puriscal, Tarrazú, Aserrí, Mora, Goicoechea, Santa Ana, Alajuelita, Vásquez de Coronado, Acosta, Tibás, Moravia, Montes de Oca, Turrubares, Dota, Curridabat, Pérez Zeledón, Alajuela, San Ramón, Grecia, San Mateo, Atenas, Naranjo, Palmares, Poás, Orotina, San Carlos, Zarcero, Valverde Vega, Los Chiles, Guatuso, Cartago, Paraíso, La Unión, Jiménez, Turrialba, Oreamuno, El Guarco, Heredia, Barva, Santo Domingo, Santa Bárbara, San Rafael, San Isidro, Belén, Flores, San Pablo, Sarapiquí, Liberia, Nicoya, Santa Cruz, Bagaces, Carrillo, Cañas, Abangares, Tilarán, La Cruz, Hojancha, Puntarenas, Esparza, Buenos Aires, Montes de Oro, Osa, Quepos, Golfito, Coto Brus, Parrita, Corredores, Garabito, Limon, Pococí, Siquirres, Talamanca, Matina, Guácimo (78/81)"
Alianza Demócrata Cristiana (Cartago),,"Cartago, Paraíso, La Unión, Jiménez, Turrialba, Alvarado, Oreamuno, El Guarco (8/81)"
Recuperando Valores (Limón),,"Limon, Siquirres, Guácimo (3/81)"
Verde (Cartago), 3-110-421552,"Cartago, Paraíso, La Unión (3/81)"
Viva Puntarenas (Puntarenas),3-110-674493,"Puntarenas, Buenos Aires, Osa, Quepos, Golfito, Coto Brus (6/81)"
Acción Cantonal Siquirres Independiente,3-110-359256,Siquirres (1/81)
Acuerdo de Alianza de Quepos ,,Quepos (1/81)
Alianza Cristiana Santaneña ,,Santa Ana (1/81)
Alianza por Palmares ,,Palmares (1/81)
Alianza por San José ,3-110-442583,San José (1/81)
Alianza Sancarleña ,,San Carlos (1/81)
Alianza Social por La Unión ,,La Unión (1/81)
Auténtico Labrador de Coronado ,,Vasquez de Coronado (1/81)
Auténtico Limonense ,,Limón (1/81)
Auténtico Siquirreño,,Siquirres (1/81)
Autónomo Oromontano,3-110-580805,Montes de Oro (1/81)
Avance Montes de Oca ,3-110-668203,Montes de Oca (1/81)
Barva Unida ,,Barva (1/81)
Cívico de Tibás Fuenteovejuna ,3-110-606664,Tibás (1/81)
Curridabat Siglo XXI ,3-110-426881,Curridabat (1/81)
Del Sol ,3-110-603639,Santa Ana (1/81)
Demócrata ,,Vasquez de Coronado (1/81)
Desamparados Unido ,,Desamparados (1/81)
Ecólogico Comunal Costarricense ,,Desamparados (1/81)
Fuerza Democrática Desamparadeña ,,Desamparados (1/81)
Fuerzas Unidas para el Cambio ,,San José (1/81)
Garabito Ecológico ,,Garabito (1/81)
Independiente Belemita,3-110-605963,Belén (1/81)
Independiente Escazuceño,,Escazú (1/81)
Justicia Generaleña ,,Pérez Zeledón (1/81)
Liga Ramonense ,,San Ramón (1/81)
Limón Independiente ,,Limón (1/81)
Movimiento Avance Santo Domingo,3-110-604535,Santo Domingo (1/81)
Nueva Mayoría Griega ,,Grecia (1/81)
Parrita Independiente ,,Parrita (1/81)
Progreso Comunal Desampareño ,,Desamparados (1/81)
Pueblo Garabito ,,Garabito (1/81)
Puriscaleños de Corazón ,,Puriscal (1/81)
Renovación Cartago,,Cartago (1/81)
Renovemos Alajuela,3-110-576965,Alajuela (1/81)
Rescate Cantonal La Unión,,La Unión (1/81)
Restauración Parriteña ,,Parrita (1/81)
Solidaridad ,,San José (1/81)
Todo por Flores,3-110-609027,Flores (1/81)
Unión Guarqueño,,El Guarco (1/81)
Yunta Progresista Escazuceña ,3-110-207588,Escazú (1/81)
Alianza por Belén (Acción Ciudadana – Frente Amplio – Independiente Belemita),,Belén (1/81)
Gente de Montes de Oca (Frente Amplio – Acción Ciudadana),,Montes de Oca (1/81)
Somos Tibás (Acción Ciudadana – Cívico de Tibás Frenteovejuna – Frente Amplio),,Tibás (1/81)
Unidos por Guatuso (Acción Ciudadana – Frente Amplio),,Guatuso (1/81)
